seq,kind,plan_name,law,article,edition,period,cycle,ministry,confidence,has_doc,doc_file,doc_size,doc_note,remark,source_url,note,display,order
174,본번,학교폭력의 예방 및 대책에 관한 기본계획,「학교폭력예방 및 대책에 관한 법률」,제6조제1항,제5차,2025~2029,5년,교육부,확인,TRUE,/plans/학교폭력의 예방 및 대책에 관한 기본계획_제5차.pdf,3283382,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156687044,2025.5.1 발표,TRUE,176
175,본번,한부모가족 정책에 관한 기본계획,「한부모가족지원법」,제5조의5제1항,제1차,2023~2027,5년,여성가족부,확인,TRUE,/plans/한부모가족 정책에 관한 기본계획_제1차.pdf,2686642,,,https://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704954,,TRUE,177
176,본번,항공우주산업개발기본계획,「항공우주산업개발 촉진법」,제3조제1항,제3차,2021~2030,매년,산업통상자원부,참고,FALSE,,,,,https://www.kari.re.kr/kor/sub04_02_02.do,항공산업발전 기본계획. 제4차 미확인(국토부 제4차 항공정책기본계획(25~29)은 별개 계획),TRUE,178
177,본번,항만기본계획,「항만법」,제5조제1항,제4차,2021~2030,10년,해양수산부,확인,TRUE,/plans/항만기본계획_제4차.pdf,4716199,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=43953,2020.12.30 고시. 수정계획 진행 중(2025 전략환경영향평가),TRUE,179
178,본번,해양생태계보전ㆍ관리기본계획,「해양생태계의 보전 및 관리에 관한 법률」,제9조제1항,제2차,2019~2028,10년,해양수산부,확인,TRUE,/plans/해양생태계보전ㆍ관리기본계획_제2차.pdf,1599195,,수립 후 5년마다 타당성 검토 규정,https://www.mof.go.kr/jfile/readDownloadFile.do?fileType=MOF_ARTICLE&fileTypeSeq=36321&fileNum=2,10년 주기,TRUE,180
179,본번,해양수산과학기술 육성 기본계획,「해양수산과학기술 육성법」,제5조제1항,제2차,2023~2027,5년,해양수산부,확인,TRUE,/plans/해양수산과학기술 육성 기본계획_제2차.pdf,35809242,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=49546,2023.2.22 국가과학기술자문회의 확정,TRUE,181
180,본번,해양수산발전기본계획,「해양수산발전 기본법」,제6조제1항,제3차,2021~2030,10년,해양수산부,확인,TRUE,/plans/해양수산발전기본계획_제3차.pdf,15999433,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=37159,해양수산발전기본계획,TRUE,182
181,본번,해양수산생명자원관리기본계획,「해양수산생명자원의 확보ㆍ관리 및 이용 등에 관한 법률」,제8조제1항,제2차,2024~2028,5년,해양수산부,확인,TRUE,/plans/해양수산생명자원관리기본계획_제2차.pdf,3607086,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=50647,,TRUE,183
182,본번,해양심층수기본계획,「해양심층수의 개발 및 관리에 관한 법률」,제4조제1항,제4차,,5년,해양수산부,확인,TRUE,/plans/해양심층수기본계획_제4차.pdf,1728577,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=57094,해수부 공고 2024-801(2024.5.27). 직전 제3차(2019~2023),TRUE,184
183,본번,해양조사기본계획,「해양조사와 해양정보 활용에 관한 법률」,제7조제1항,제3차,2021~2025,5년,해양수산부,확인,TRUE,/plans/해양조사기본계획_제3차.pdf,5291497,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.khoa.go.kr,해양조사와 해양정보 활용에 관한 법률(2021.2 시행) 후 최초. 5년 주기,TRUE,185
184,본번,해양치유자원의 관리 및 활용에 관한 기본계획,「해양치유자원의 관리 및 활용에 관한 법률」,제5조제1항,차수없음,2022~2026,5년,해양수산부,확인,TRUE,/plans/해양치유자원의 관리 및 활용에 관한 기본계획.pdf,2603935,,차수를 붙이지 않는 계획,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=44132,2021.12.16 발표,TRUE,186
185,본번,해양폐기물 및 해양오염퇴적물 관리 기본계획,「해양폐기물 및 해양오염퇴적물 관리법」,제5조제1항,제1차,2021~2030,10년,해양수산부,확인,TRUE,/plans/해양폐기물 및 해양오염퇴적물 관리 기본계획_제1차.pdf,11665335,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=39282,변경계획 수립(2026),TRUE,187
186,본번,해양환경종합계획,「해양환경 보전 및 활용에 관한 법률」,제10조제1항,제5차,2021~2030,10년,해양수산부,확인,TRUE,/plans/해양환경종합계획_제5차.hwp,5226496,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=36880,해양환경 종합계획. 10년 주기,TRUE,188
187,본번,환경관리해역기본계획,「해양환경관리법」,제16조제1항,제3차,2019~2023,5년,해양수산부,참고,TRUE,/plans/환경관리해역기본계획_제3차.pdf,2685510,,계획기간 만료(2023년) — 후속 차수 미확인,https://www.mof.go.kr/article/view.do?articleKey=26849&boardKey=22,제4차 미확인 - 계획기간 만료,TRUE,189
188,본번,해외자원개발 기본계획,「해외자원개발 사업법」,제4조제1항,제6차,2020~2029,5년,산업통상자원부,확인,TRUE,/plans/해외자원개발 기본계획_제6차.pdf,341109,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000036594,2020.6.5 수립,TRUE,190
189,본번,핵융합에너지개발진흥기본계획,「핵융합에너지 개발진흥법」,제4조제1항,제4차,2022~2026,5년,과학기술정보통신부,확인,TRUE,/plans/핵융합에너지개발진흥기본계획_제4차.pdf,182714,,후속 계획 수립 착수,https://eiec.kdi.re.kr/policy/materialView.do?num=222246,2021.12.30 제16차 국가핵융합위 확정. 제5차(2027~2031) 2026.5 수립 착수,TRUE,191
190,본번,화재의 예방 및 안전관리 기본계획,「화재의 예방 및 안전관리에 관한 법률」,제4조,제2차,2022~2026,5년,소방청,확인,FALSE,,,,계획 명칭이 별표 표기와 다름,https://www.korea.kr/news/pressReleaseView.do?newsId=156474405,화재예방법(2022 제정) 이전 근거법상 '화재안전정책 기본계획' 명칭. 5년 주기,TRUE,192
191,본번,소방안전 특별관리기본계획,「화재의 예방 및 안전관리에 관한 법률」,제40조제2항,제2차,2022~2026,5년,소방청,확인,FALSE,,,,,https://www.korea.kr/news/pressReleaseView.do?newsId=156474405,소방안전 특별관리기본계획,TRUE,193
192,본번,화학물질의 관리에 관한 기본계획,「화학물질관리법」,제6조제1항,제3차,2026~2030,5년,기후에너지환경부,확인,TRUE,/plans/화학물질의 관리에 관한 기본계획_제3차.pdf,399038,,,https://korea.kr/briefing/pressReleaseView.do?newsId=156737434,2025.12.30 수립,TRUE,194
193,본번,국가환경교육계획,「환경교육의 활성화 및 지원에 관한 법률」,제5조제1항,제4차,2026~2030,5년,기후에너지환경부,확인,FALSE,,,,,https://www.gne.go.kr/user/bbs/BD_selectBbs.do?q_bbsSn=1464,2025.12.16 수립,TRUE,195
194,본번,환경기술 개발 및 환경산업의 육성을 위한 계획,「환경기술 및 환경산업 지원법」,제3조제1항,제5차,2023~2027,5년,환경부,확인,TRUE,/plans/환경기술 개발 및 환경산업의 육성을 위한 계획_제5차.pdf,1204723,,,https://www.pacst.go.kr/jsp/council/councilArchiveView.jsp?archive_id=1072,환경기술·환경산업·환경기술인력 육성계획,TRUE,196
195,본번,국가환경종합계획,「환경정책기본법」,제14조제1항,제5차,2020~2040,20년,환경부,확인,TRUE,/plans/국가환경종합계획_제5차.pdf,9329012,,,http://www.me.go.kr/home/web/policy_data/read.do?menuId=10260&seq=7448,제5차 국가환경종합계획 수정계획안(2026~2040) 공청회 진행(2025.7),TRUE,197
196,본번,환경친화적인 산업구조로의 전환을 촉진하기 위한 종합시책,「환경친화적 산업구조로의 전환촉진에 관한 법률」,제3조제1항,,,5년,산업통상자원부,미확인,FALSE,,,,,,환경친화적 산업구조 전환촉진법상 종합시책,TRUE,198
197,본번,환경친화적 선박의 개발 및 보급을 촉진하기 위한 기본계획,「환경친화적 선박의 개발 및 보급 촉진에 관한 법률」,제3조제1항,제1차,2021~2030,5년,해양수산부·산업통상자원부,확인,FALSE,,,,,https://epts.kdi.re.kr/polcTmsesSrvc/them?SEARCH_CTE_SEQ=71321,2030 그린쉽-K 추진전략,TRUE,199
198,본번,환경친화적 자동차의 개발 및 보급을 촉진하기 위한 기본계획,「환경친화적 자동차의 개발 및 보급 촉진에 관한 법률」,제3조제1항,제4차,2021~2025,5년,산업통상자원부,참고,TRUE,/plans/환경친화적 자동차의 개발 및 보급을 촉진하기 위한 기본계획_제4차.pdf,3621792,,계획기간 만료(2025년) — 후속 차수 미확인,https://biz.katech.re.kr/core/?cid=24&uid=78&role=view,제5차 미확인 - 계획기간 만료,TRUE,200
